Year,Month_Num,Month,Quarter,ATM_Onsite,ATM_Offsite,POS,Micro_ATM,Bharat_QR,UPI_QR,Credit_Cards,Debit_Cards,CC_POS_Volume,CC_Online_Volume,DC_POS_Volume,DC_Online_Volume,DC_ATM_Withdrawal_Volume,PSI_Volume_Current_Month,PSI_Volume_Previous_Month,PSI_Volume_Same_Month_Last_Year,PSI_Value_Current_Month,PSI_Value_Previous_Month,PSI_Value_Same_Month_Last_Year,Month_Sin,Month_Cos,Time_Index,Total_Card_Payment_Volume,CreditCard_Payment_Volume,DebitCard_Payment_Volume,Total_QR_Infrastructure,Total_ATM_Infrastructure,Total_Digital_Infrastructure,Credit_Debit_Card_Ratio,CC_to_DC_Payment_Volume_Ratio,PSI_Volume_Gap_Current_Previous,PSI_Value_Gap_Current_Previous,PSI_Volume_YoY_Gap,PSI_Value_YoY_Gap,NPCI_Value_Bn,NPCI_Volume_Mn
2025,1,January,Q1,130902,85804,10352730,1473899,6443092,640164702.0,108873184,982039277,217743317,212193992,91091391,30470254,488353232,1012778.2498605892,998634.12449,762683.108525,188266339.2801191,187550679.02140927,151073712.5865165,0.4999999999999999,0.8660254037844387,1,551498954,429937309,121561645,646607794.0,216706,658434423.0,0.1108643885737372,3.536784229927129,14144.1253705892,715660.2587098181,250095.1413355891,37192626.69360259,224110.1406402452,132106.807145
2025,2,February,Q1,132059,84777,10717514,1467966,6548149,649691280.0,109315356,985676745,199995593,196284815,80342355,27813305,447376890,962974.0919,1012778.2498605892,761275.91971,165806011.31007066,188266339.2801191,151634613.8080309,0.8660254037844386,0.5000000000000001,2,504436068,396280408,108155660,656239429.0,216836,668424909.0,0.110903860271148,3.663982153130035,-49804.15796058916,-22460327.970048428,201698.17218999995,14171397.50203976,224110.1406402452,132106.807145
2025,3,March,Q1,131323,83518,11098051,1481883,6718039,657929517.0,109884686,990812421,230266329,227565189,89581561,30622450,495721528,1093244.38466,962974.0919,837159.41595,203299995.2841425,165806011.31007066,169837384.2952381,1.0,6.123233995736766e-17,3,578035529,457831518,120204011,664647556.0,214841,677227490.0,0.11090362178655,3.808787362345172,130270.29275999998,37493983.9740718,256084.96870999996,33462610.98890436,224110.1406402452,132106.807145
2025,4,April,Q2,131265,82526,11283266,1473668,6663778,662384943.0,110437069,995983731,228140764,221275020,87530236,29478270,457805976,1056516.1214482356,1093244.38466,814192.172,183690272.15470853,203299995.2841425,150073999.98973417,0.8660254037844387,-0.4999999999999998,4,566424290,449415784,117008506,669048721.0,213791,681805655.0,0.1108824025560313,3.8408813116543854,-36728.2632117644,-19609723.12943393,242323.9494482356,33616272.16497436,226765.47548654876,141651.024411
2025,5,May,Q2,134809,81162,11581161,1478043,6642075,669729906.0,111049553,1000369817,235914154,230745664,86156629,28805524,457987566,1102932.03207,1056516.1214482356,854871.587415,185486573.64740196,183690272.15470853,155434356.67533004,0.4999999999999999,-0.8660254037844387,5,581621971,466659818,114962153,676371981.0,215971,689431185.0,0.1110085001694928,4.059247376830181,46415.91062176437,1796301.4926933944,248060.444655,30052216.97207189,226765.47548654876,141651.024411
2025,6,June,Q2,131169,78801,11782954,1459218,6699048,678160811.0,110969493,1005180283,233869565,223606182,81289624,27210465,435858139,1084787.20758,1102932.03207,846599.55662,195375689.41226912,185486573.64740196,159145757.67818284,1.2246467991473532e-16,-1.0,6,565975836,457475747,108500089,684859859.0,209970,698102031.0,0.1103976021781955,4.216362873213864,-18144.824490000028,9889115.764867188,238187.65095999988,36229931.73408628,226765.47548654876,141651.024411
2025,7,July,Q3,131223,76840,11913080,1466668,6641351,688030939.0,111807972,1012727337,243275291,241322355,83219175,28764405,444765520,1147549.0821788576,1084787.20758,877820.9204652931,201927839.48173863,195375689.41226912,168700064.7289615,-0.4999999999999997,-0.8660254037844388,7,596581226,484597646,111983580,694672290.0,208063,708052038.0,0.1104028378765882,4.327399124050151,62761.874598857714,6552150.069469541,269728.16171356454,33227774.75277716,245373.0279419042,148237.29796400006
2025,8,August,Q3,130897,76122,11964613,1471422,6573082,697747231.0,112495592,1018042450,250162542,241618661,84359478,27641922,460136709,1184441.69227,1147549.0821788576,904842.4771385342,178636919.27959552,201927839.48173863,162160550.01656103,-0.8660254037844385,-0.5000000000000004,8,603782603,491781203,112001400,704320313.0,207019,717756348.0,0.1105018675792939,4.390848712605378,36892.61009114236,-23290920.202143133,279599.2151314658,16476369.263034493,245373.0279419042,148237.29796400006
2025,9,September,Q3,131664,75047,12116102,1459945,6070528,708974740.0,113507240,1024808790,241614615,251718295,77755830,26904171,437090119,1158441.14382,1184449.72459,905499.2464,200643984.11500183,178636984.98571625,169968595.5214336,-1.0,-1.8369701987210294e-16,9,597992911,493332910,104660001,715045268.0,206711,728621315.0,0.1107594324986225,4.713671940438831,-26008.58077000012,22006999.129285604,252941.89741999996,30675388.593568265,245373.0279419042,148237.29796400006
2025,10,October,Q4,132454,74923,12308241,1464566,6047707,717433868.0,114133565,1027150225,260941537,255272591,82878827,26666791,463633544,1218450.1089377152,1158441.06408,1004562.5553761752,198507180.3379316,200643982.55446488,178247652.5920278,-0.8660254037844386,0.5000000000000001,10,625759746,516214128,109545618,723481575.0,207377,737254382.0,0.1111167210229642,4.712321108088505,60009.04485771526,-2136802.2165333037,213887.55356154,20259527.74590376,255516.05842022045,151451.82656900003
2025,11,November,Q4,133339,74457,11253425,1427193,5952557,728199555.5,115001607,1031703169,253839650,246854090,76331463,24803398,438022645,1203626.4573034272,1218450.1089377152,925757.48315,182553544.1865236,198507180.3379316,150249991.6186327,-0.5000000000000004,0.8660254037844384,11,601828601,500693740,101134861,734152112.5,207796,746832730.5,0.1114677268186233,4.95075323235971,-14823.65163428802,-15953636.151408017,277868.9741534272,32303552.567890853,255516.05842022045,151451.82656900003
2025,12,December,Q4,133729,73756,11474672,1414547,5890220,731365285.0,115791713,1034345867,272631988,264617358,79435329,25407654,444401793,1264983.722949914,1203626.4573034272,998634.12449,223683422.92414197,182553544.1865236,187550679.02140927,-2.4492935982947064e-16,1.0,12,642092329,537249346,104842983,737255505.0,207485,750144724.0,0.1119468029933163,5.124323351234675,61357.265646486776,41129878.73761839,266349.598459914,36132743.90273267,255516.05842022045,151451.82656900003
